TASK,Direction,AVERAGE,UPPER,LOWER
READ,B,23.01282051,28.47617154,17.54946949
READ,F,49.35897436,55.67643596,43.04151275
READ,S,43.14102564,49.17785346,37.10419783
READ,U,14.93589744,19.03073589,10.84105898
JOL,B,33.71868979,39.60848189,27.82889769
JOL,F,71.95121951,77.09131882,66.8111202
JOL,S,61.63239075,67.71270665,55.55207484
JOL,U,15.41425819,21.32703644,9.501479942
FREQ,B,32.16875412,38.14538074,26.1921275
FREQ,F,67.81002639,73.23126331,62.38878946
FREQ,S,62.83068783,68.76542285,56.89595281
FREQ,U,13.42592593,17.472614,9.379237848
