"JAM","FREQ","JOL"
20.6666666666667,25.25,16.8666666666667
19.3846153846154,25.15,22.125
20.1538461538462,14.5,17.0625
6.31578947368421,20.2,20.5882352941176
11.7894736842105,21.1,31.4117647058824
19.0526315789474,27.85,30.0625
17.8461538461538,17.9,17.125
19.8461538461538,21.05,22.125
11.5263157894737,14.75,21
16.1538461538462,16.8,16.125
15.5384615384615,20.6,23
13.3157894736842,8.85,23.3125
23.0769230769231,19.05,27.5625
6.78947368421053,21.5,26.5
16.4615384615385,28.7894736842105,20.4375
15.2307692307692,25.35,29.375
16.0833333333333,25.85,20.7333333333333
38.3076923076923,46.35,32.3333333333333
18.8461538461538,13.5,23.5
20.2307692307692,18.4,18.75
11.3157894736842,12.5,15.5625
11,11.95,22.7058823529412
17.1052631578947,23.8421052631579,28.4705882352941
11.1578947368421,14.7,17.2941176470588
13.6842105263158,30.2,25.3125
14,18.6,17.125
23.5,30.95,36.125
20.3157894736842,35.4,43.4705882352941
18.6923076923077,16.65,21.6875
10.4736842105263,14.5,16.625
12.2222222222222,16.7,19.25
22.9230769230769,39,25.0625
18.6842105263158,37.65,28.875
16.9166666666667,30.8,24.375
12.5263157894737,22.9473684210526,36.0625
19.1538461538462,27,17.9375
9,21.45,23.3125
12.3684210526316,11.9,17.1875
10.1578947368421,12.15,28
9.63157894736842,21,20
16.2105263157895,17,18.125
18.7894736842105,22.7,30.8823529411765
17.1666666666667,23.1,22.1875
9.68421052631579,25,18.375
29.8947368421053,46.75,40.5
17.7222222222222,25.3,37.5294117647059
10.1052631578947,14.5,19.3125
8.92307692307692,22,16.625
12.6315789473684,18.7,25.125
11.7368421052632,21.25,12.375
10.1052631578947,11.7,18.75
15.4736842105263,6.05,23.875
23.4615384615385,38,26.8125
17.6842105263158,24.3684210526316,25.25
14.1538461538462,22.35,15.5625
23.4615384615385,23.2631578947368,22.6666666666667
9.42105263157895,23.8,24.7647058823529
22.1538461538462,28.95,24.8125
10.2105263157895,18.85,23.7058823529412
9.84615384615385,12.15,18.375
15.3076923076923,14.8,19.125
21.6923076923077,16.95,22
20.5384615384615,16.75,27.875
10.6111111111111,16.3157894736842,23.0625
11.3076923076923,16.9,25.75
18.4615384615385,21.8,24.75
30.5384615384615,52.45,34.625
7.15789473684211,18.85,19.1176470588235
5.83333333333333,20.25,28.75
26.3684210526316,46.2105263157895,39.3333333333333
15.8888888888889,27.5,29.5294117647059
5.78947368421053,29.8,22.1176470588235
29.3684210526316,53.35,30.5625
23.6923076923077,22.5,15.375
8.84615384615385,24,19.375
12.8421052631579,19.4,35.8823529411765
9.76923076923077,15.35,22.3125
12.5789473684211,15,20.8125
21.25,25,21
7.38461538461539,26.7,21.4666666666667
