"Sub.ID","B","F","S","U"
"10069503MDSA",42.5,60,55,37.5
"10071305_mkt",25,52.5,35,7.5
"10084195jh",5,45,17.5,10
"10097621LS",37.5,62.5,42.5,37.5
"10104845FH",50,82.5,72.5,20
"5d0a90bb7c5110001acaa336",57.5,85,80,35
"5ec9caecb7f79d106dfe1065",15,45,27.5,12.5
"5f088147510abc0947ad",25,80,70,10
"5f26ad14db44f940a40c86dd",67.5,75,77.5,15
"5f4c2efda7461b8435ce9fd3",5,15,20,2.5
"5f4f8e8f9213e9056223e128",25,35,52.5,10
"5f8f54f056dee01a45a09147",30,40,45,25
"982346DJ",27.5,62.5,40,20
"w10004245",40,57.5,40,22.5
"w10022439_mlr",25,47.5,42.5,10
"w10030757JP",20,47.5,40,7.5
"w10043024",12.5,55,50,2.5
"w10050832_sgm",35,90,75,32.5
"w10065817_CEB",35,50,30,15
"w10067789_JT",45,72.5,67.5,30
"w10076541_mim",5,40,35,7.5
"w10077356JS",5,40,35,15
"w10079099_msr",30,40,35,7.5
"w10082046_ac",5,52.5,45,12.5
"w10082599_LD",30,60,52.5,10
"w10085323",15,42.5,42.5,17.5
"w10096966",25,27.5,42.5,5
"W10106164HPR",7.5,62.5,27.5,15
"w535119_jll",12.5,40,32.5,2.5
"w919795_nrb",10,42.5,22.5,2.5
"w934494_APK",67.5,85,87.5,45
"w980000_lf",37.5,72.5,47.5,40
